global_step,eval_reward
10000,-6.4323945
20000,-4.673085
30000,-0.018384105
40000,48.512024
50000,17.003056
60000,32.463726
70000,83.87619
80000,129.42331
90000,220.16656
100000,205.41513
110000,227.72318
120000,206.27835
130000,203.61644
140000,197.7236
150000,200.38689
160000,203.85243
170000,205.73563
180000,189.22905
190000,197.51654
200000,203.26686
210000,212.21004
220000,213.21219
230000,215.95108
240000,212.56009
250000,215.94154
260000,211.9317
270000,186.645
280000,178.95247
290000,187.2073
300000,187.1981
310000,210.57712
320000,222.21222
330000,204.34967
340000,195.35562
350000,210.49045
360000,226.71542
370000,224.02148
380000,219.12137
390000,216.74057
400000,198.31
410000,211.60782
420000,182.76251
430000,185.65202
440000,184.72942
450000,93.68965
460000,205.43204
470000,197.94699
480000,190.74915
490000,173.5333
500000,183.23514
510000,180.87343
520000,204.89717
530000,209.5537
540000,192.55829
550000,225.59932
560000,211.28479
570000,209.70914
580000,218.95288
590000,193.85542
600000,206.90587
610000,212.91823
620000,218.21317
630000,224.14857
640000,214.73077
650000,202.4914
660000,216.82964
670000,221.78561
680000,227.3672
690000,209.07428
700000,212.3246
710000,234.93495
720000,240.91736
730000,230.85529
740000,226.74771
750000,214.54396
760000,232.9522
770000,235.69131
780000,236.04868
790000,233.82127
800000,236.23666
810000,229.57637
820000,237.88383
830000,236.26949
840000,225.44704
850000,221.51358
860000,223.0239
870000,230.67783
880000,234.66963
890000,203.98314
900000,211.3578
910000,213.93962
920000,244.18492
930000,235.7014
940000,235.38815
950000,226.82462
960000,232.41574
970000,228.92917
980000,221.33954
990000,230.39342
1000000,236.33025
1010000,237.30234
1020000,237.30524
1030000,227.77257
1040000,224.79909
1050000,224.31738
1060000,234.54407
1070000,241.82906
1080000,232.38437
1090000,232.6889
1100000,234.00845
1110000,237.27127
1120000,239.7592
1130000,243.38855
1140000,237.23294
1150000,237.62016
1160000,240.74658
1170000,246.16745
1180000,239.08958
1190000,236.12209
1200000,226.74254
1210000,226.90477
1220000,238.8055
1230000,239.19034
1240000,234.06674
1250000,231.15778
1260000,237.75128
1270000,232.6542
1280000,223.25703
1290000,230.74867
1300000,231.80109
1310000,236.57993
1320000,230.19232
1330000,233.3879
1340000,237.31345
1350000,164.99716
1360000,193.96648
1370000,239.4719
1380000,238.89613
1390000,235.77312
1400000,237.56133
1410000,221.93382
1420000,225.44948
1430000,229.75096
1440000,224.78238
1450000,241.41052
1460000,198.70398
1470000,246.14867
1480000,243.30316
1490000,248.08452
1500000,250.19823
1510000,252.58339
1520000,253.4383
1530000,249.73277
1540000,252.41212
1550000,249.81259
1560000,248.17775
1570000,241.60413
1580000,247.31041
1590000,246.64644
1600000,243.92542
1610000,244.80754
1620000,246.5742
1630000,242.42441
1640000,247.97934
1650000,247.0886
1660000,246.10342
1670000,251.75586
1680000,249.53226
1690000,247.92142
1700000,244.31122
1710000,241.5411
1720000,223.25185
1730000,246.46663
1740000,241.40628
1750000,252.42474
1760000,251.30772
1770000,249.9985
1780000,249.0686
1790000,242.12726
1800000,245.6031
1810000,245.10927
1820000,239.85443
1830000,246.11665
1840000,239.4295
1850000,240.99484
1860000,239.0352
1870000,239.42038
1880000,245.89192
1890000,243.56409
1900000,240.81094
1910000,244.39584
1920000,243.96307
1930000,247.95287
1940000,247.46535
1950000,239.25749
1960000,249.01027
1970000,249.58054
1980000,239.59105
1990000,245.55533
2000000,249.4076
2010000,252.03642
2020000,246.58727
2030000,246.56541
2040000,246.17757
2050000,249.83437
2060000,247.05771
2070000,248.56136
2080000,249.36008
2090000,250.87195
2100000,252.5616
2110000,250.03438
2120000,247.58386
2130000,251.553
2140000,244.56335
2150000,242.783
2160000,248.08383
2170000,244.35762
2180000,251.39154
2190000,250.05586
2200000,250.08943
2210000,252.72583
2220000,251.64201
2230000,248.6546
2240000,253.77623
2250000,252.75821
2260000,250.85422
2270000,251.74605
2280000,252.32048
2290000,250.84789
2300000,249.39641
2310000,251.6603
2320000,249.81715
2330000,250.44046
2340000,253.50085
2350000,248.436
2360000,248.98643
2370000,248.74915
2380000,251.439
2390000,248.16902
2400000,241.89679
2410000,243.26765
2420000,250.1627
2430000,248.3318
2440000,245.81451
2450000,250.3711
2460000,250.59378
2470000,248.31595
2480000,250.07367
2490000,247.47739
2500000,252.58177
2510000,252.49597
2520000,251.12737
2530000,244.6487
2540000,253.07411
2550000,253.58134
2560000,254.57271
2570000,251.57976
2580000,254.82898
2590000,252.89474
2600000,254.29773
2610000,255.81651
2620000,255.60399
2630000,255.74559
2640000,256.06516
2650000,256.0041
2660000,255.54588
2670000,255.79115
2680000,254.75487
2690000,254.11671
2700000,250.91429
2710000,251.75668
2720000,252.2482
2730000,251.51665
2740000,248.8027
2750000,252.26848
2760000,250.17377
2770000,252.12547
2780000,248.04948
2790000,252.06136
2800000,253.0341
2810000,248.03575
2820000,245.23999
2830000,241.94104
2840000,247.5901
2850000,246.39108
2860000,239.61476
2870000,242.23097
2880000,240.57303
2890000,243.70633
2900000,246.19418
2910000,245.17892
2920000,244.23802
2930000,244.98286
2940000,249.59242
2950000,248.06644
2960000,250.86494
2970000,251.77066
2980000,250.10262
2990000,254.07115
3000000,253.15596
3010000,251.52281
3020000,252.28545
3030000,254.95067
3040000,253.6685
3050000,253.36786
3060000,250.1535
3070000,247.99648
3080000,249.38661
3090000,248.86827
3100000,249.2149
3110000,246.58936
3120000,249.165
3130000,244.20612
3140000,237.93124
3150000,245.81519
3160000,247.65936
3170000,248.91325
3180000,247.19221
3190000,243.13411
3200000,238.09993
3210000,243.1714
3220000,246.79248
3230000,247.72203
3240000,254.74992
3250000,253.93071
3260000,253.00365
3270000,251.7516
3280000,254.8183
3290000,255.28668
3300000,253.60883
3310000,254.41805
3320000,254.76376
3330000,254.93315
3340000,255.87135
3350000,254.11308
3360000,254.03651
3370000,253.53311
3380000,251.53716
3390000,251.54893
3400000,250.60153
3410000,253.86446
3420000,249.82095
3430000,254.49295
3440000,256.4263
3450000,255.48659
3460000,255.41896
3470000,254.71103
3480000,254.9745
3490000,254.15236
3500000,251.96695
3510000,253.05556
3520000,253.7782
3530000,254.09276
3540000,253.12071
3550000,255.16936
3560000,253.07275
3570000,255.47652
3580000,254.99603
3590000,254.36987
3600000,253.64978
3610000,255.07457
3620000,254.99576
3630000,254.39914
3640000,251.96799
3650000,255.09906
3660000,255.46129
3670000,256.1532
3680000,255.73419
3690000,255.03293
3700000,255.52748
3710000,255.41562
3720000,256.65735
3730000,256.33447
3740000,257.72165
3750000,255.04686
3760000,255.96803
3770000,254.57024
3780000,251.78665
3790000,251.85034
3800000,253.34193
3810000,252.76804
3820000,254.33249
3830000,255.60027
3840000,254.93585
3850000,254.78513
3860000,254.00365
3870000,257.05472
3880000,255.44453
3890000,255.72076
3900000,254.68437
3910000,254.6318
3920000,255.77832
3930000,255.91026
3940000,254.97316
3950000,253.44289
3960000,255.02255
3970000,254.3823
3980000,255.07385
3990000,255.23012
4000000,254.91235
4010000,253.82964
4020000,254.13086
4030000,255.24815
4040000,253.89702
4050000,251.79803
4060000,254.35454
4070000,254.26633
4080000,255.2753
4090000,254.54987
4100000,255.22173
4110000,254.23468
4120000,254.74298
4130000,253.42436
4140000,255.29135
4150000,253.44092
4160000,255.11172
4170000,254.45454
4180000,254.62755
4190000,252.97704
4200000,255.04225
4210000,254.4389
4220000,255.63374
4230000,254.59393
4240000,254.21347
4250000,252.74818
4260000,253.41458
4270000,251.92462
4280000,254.8273
4290000,254.89006
4300000,255.25572
4310000,255.14337
4320000,254.45276
4330000,254.8325
