"global_step","/data/horse/ws/paau122b-car-follwing/logs/02-03:16-04:11.10 - eval/mean_reward","/data/horse/ws/paau122b-car-follwing/logs/02-03:16-04:11.10 - eval/mean_reward__MIN","/data/horse/ws/paau122b-car-follwing/logs/02-03:16-04:11.10 - eval/mean_reward__MAX","/data/horse/ws/paau122b-car-follwing/logs/02-03:16-04:11.10 - _step","/data/horse/ws/paau122b-car-follwing/logs/02-03:16-04:11.10 - _step__MIN","/data/horse/ws/paau122b-car-follwing/logs/02-03:16-04:11.10 - _step__MAX"
"10000","14.33382","14.33382","14.33382","43","43","43"
"20000","53.17385","53.17385","53.17385","110","110","110"
"30000","47.92738","47.92738","47.92738","177","177","177"
"40000","34.142","34.142","34.142","244","244","244"
"50000","36.935997","36.935997","36.935997","311","311","311"
"60000","76.278404","76.278404","76.278404","378","378","378"
"70000","199.87898","199.87898","199.87898","445","445","445"
"80000","197.04172","197.04172","197.04172","512","512","512"
"90000","186.98616","186.98616","186.98616","566","566","566"
"100000","202.03459","202.03459","202.03459","633","633","633"
"110000","221.40126","221.40126","221.40126","700","700","700"
"120000","217.4087","217.4087","217.4087","767","767","767"
"130000","213.14436","213.14436","213.14436","834","834","834"
"140000","218.51396","218.51396","218.51396","901","901","901"
"150000","218.93001","218.93001","218.93001","968","968","968"
"160000","208.50653","208.50653","208.50653","1035","1035","1035"
"170000","211.60066","211.60066","211.60066","1102","1102","1102"
"180000","204.11826","204.11826","204.11826","1156","1156","1156"
"190000","216.16084","216.16084","216.16084","1223","1223","1223"
"200000","202.44502","202.44502","202.44502","1290","1290","1290"
"210000","205.02522","205.02522","205.02522","1357","1357","1357"
"220000","215.5835","215.5835","215.5835","1424","1424","1424"
"230000","214.03854","214.03854","214.03854","1491","1491","1491"
"240000","198.14922","198.14922","198.14922","1558","1558","1558"
"250000","211.36394","211.36394","211.36394","1625","1625","1625"
"260000","220.23099","220.23099","220.23099","1679","1679","1679"
"270000","223.25594","223.25594","223.25594","1746","1746","1746"
"280000","227.42285","227.42285","227.42285","1813","1813","1813"
"290000","231.7833","231.7833","231.7833","1880","1880","1880"
"300000","228.68307","228.68307","228.68307","1947","1947","1947"
"310000","225.27083","225.27083","225.27083","2014","2014","2014"
"320000","223.719","223.719","223.719","2081","2081","2081"
"330000","226.32814","226.32814","226.32814","2148","2148","2148"
"340000","61.879868","61.879868","61.879868","2215","2215","2215"
"350000","233.67096","233.67096","233.67096","2269","2269","2269"
"360000","240.56259","240.56259","240.56259","2336","2336","2336"
"370000","231.8435","231.8435","231.8435","2403","2403","2403"
"380000","219.85745","219.85745","219.85745","2470","2470","2470"
"390000","218.4673","218.4673","218.4673","2537","2537","2537"
"400000","228.33989","228.33989","228.33989","2604","2604","2604"
"410000","218.422","218.422","218.422","2671","2671","2671"
"420000","201.10689","201.10689","201.10689","2738","2738","2738"
"430000","205.35196","205.35196","205.35196","2792","2792","2792"
"440000","204.8985","204.8985","204.8985","2859","2859","2859"
"450000","221.71617","221.71617","221.71617","2926","2926","2926"
"460000","208.85532","208.85532","208.85532","2993","2993","2993"
"470000","196.3734","196.3734","196.3734","3060","3060","3060"
"480000","212.76326","212.76326","212.76326","3127","3127","3127"
"490000","181.31168","181.31168","181.31168","3194","3194","3194"
